Salary Cap Values
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Jahmyr Gibbs (RB - DET),6,$61,,,,Josh Allen - BUF,7,$28,,,,Jahmyr Gibbs - DET,6,$61,,,,Puka Nacua - LAR,11,$59,,,,Trey McBride - ARI,14,$31,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Puka Nacua (WR - LAR),11,$59,,,,Lamar Jackson - BAL,13,$15,,,,Bijan Robinson - ATL,11,$56,,,,Ja'Marr Chase - CIN,6,$57,,,,Brock Bowers - LV,13,$27,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$57,,,,Drake Maye - NE,11,$14,,,,Christian McCaffrey - SF,8,$50,,,,Jaxon Smith-Njigba - SEA,11,$54,,,,Colston Loveland - CHI,10,$18,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Minnesota Vikings,6,$1,,,,,,,,,,
Bijan Robinson (RB - ATL),11,$56,,,,Joe Burrow - CIN,6,$12,,,,Jonathan Taylor - IND,13,$45,,,,Amon-Ra St. Brown - DET,6,$52,,,,Harold Fannin Jr. - CLE,11,$15,,,,Cameron Dicker - LAC,7,$1,,,,Pittsburgh Steelers,9,$1,,,,,,,,,,
Jaxon Smith-Njigba (WR - SEA),11,$54,,,,Jalen Hurts - PHI,10,$12,,,,De'Von Achane - MIA,6,$40,,,,Drake London - ATL,11,$37,,,,Tyler Warren - IND,13,$15,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$1,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$52,,,,Jayden Daniels - WAS,7,$10,,,,Chase Brown - CIN,6,$37,,,,CeeDee Lamb - DAL,14,$35,,,,Kyle Pitts Sr. - ATL,11,$11,,,,Jake Bates - DET,6,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$50,,,,Dak Prescott - DAL,14,$9,,,,Derrick Henry - BAL,13,$37,,,,Justin Jefferson - MIN,6,$35,,,,George Kittle - SF,8,$11,,,,Spencer Shrader - IND,13,$1,,,,Los Angeles Chargers,7,$1,,,,,,,,,,
Jonathan Taylor (RB - IND),13,$45,,,,Matthew Stafford - LAR,11,$9,,,,James Cook III - BUF,7,$36,,,,Rashee Rice - KC,5,$34,,,,Sam LaPorta - DET,6,$10,,,,Cairo Santos - CHI,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
De'Von Achane (RB - MIA),6,$40,,,,Brock Purdy - SF,8,$7,,,,Saquon Barkley - PHI,10,$34,,,,Chris Olave - NO,8,$32,,,,Travis Kelce - KC,5,$10,,,,Chase McLaughlin - TB,10,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Chase Brown (RB - CIN),6,$37,,,,Trevor Lawrence - JAC,7,$7,,,,Ashton Jeanty - LV,13,$33,,,,A.J. Brown - NE,11,$30,,,,Dallas Goedert - PHI,10,$9,,,,Eddy Pineiro - SF,8,$1,,,,Atlanta Falcons,11,$1,,,,,,,,,,
Derrick Henry (RB - BAL),13,$37,,,,Caleb Williams - CHI,10,$7,,,,Kenneth Walker III - KC,5,$33,,,,George Pickens - DAL,14,$28,,,,Tucker Kraft - GB,11,$8,,,,Cam Little - JAC,7,$1,,,,Philadelphia Eagles,10,$1,,,,,,,,,,
Drake London (WR - ATL),11,$37,,,,Jared Goff - DET,6,$6,,,,Jeremiyah Love - ARI,14,$31,,,,Nico Collins - HOU,8,$28,,,,Jake Ferguson - DAL,14,$6,,,,Tyler Loop - BAL,13,$1,,,,Baltimore Ravens,13,$1,,,,,,,,,,
James Cook III (RB - BUF),7,$36,,,,Patrick Mahomes II - KC,5,$6,,,,Omarion Hampton - LAC,7,$31,,,,Garrett Wilson - NYJ,13,$26,,,,Isaiah Likely - NYG,8,$6,,,,Harrison Butker - KC,5,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$35,,,,Jaxson Dart - NYG,8,$6,,,,Breece Hall - NYJ,13,$30,,,,Zay Flowers - BAL,13,$26,,,,Mark Andrews - BAL,13,$6,,,,Will Reichard - MIN,6,$0,,,,Chicago Bears,10,$0,,,,,,,,,,
